code,name,city,country,latitude,longitude,elevation
GBJ,Les Bases Airport,Grand Bourg,Guadeloupe,15.86875,-61.270022,16
GBZ,Great Barrier Island,Claris,New Zealand,-36.1429,175.2819,10
GCJ,Grand Central,Johannesburg,South Africa,-25.986267,28.140061,5325
GCK,Garden City Rgnl,Garden City,United States,37.927528,-100.724417,2891
GDA,Gounda Airport,Gounda,Central African Republic,9.272222,21.197222,1509
GDN,Lech Walesa,Gdansk,Poland,54.377569,18.466222,489
GDV,Dawson Community Airport,Glendive,United States,47.138611,-104.807222,749
GED,Sussex Co,Georgetown,United States,38.689194,-75.358889,50
GEG,Spokane Intl,Spokane,United States,47.619861,-117.533833,2376
GER,Rafael Cabrera,Nueva Gerona,Cuba,21.834689,-82.783819,79
GET,Geraldton Airport,Geraldton,Australia,-28.7961,114.707,121
GEX,Geelong Airport,Geelong,Australia,-38.225,144.333,43
GGE,Georgetown County Airport,Georgetown,United States,33.3114018,-79.3203139,40
GGW,Wokal Field Glasgow International Airport,Glasgow,United States,48.2125,-106.615,2296
GHA,Noumerat,Ghardaia,Algeria,32.384106,3.794114,1512
GHB,Governors Harbour,Governor's Harbor,Bahamas,25.284706,-76.331011,26
GHT,Ghat,Ghat,Libya,25.145564,10.142647,2296
GIS,Gisborne,Gisborne,New Zealand,-38.663333,177.978333,15
GIU,Sigiriya Airport,Sigiriya,Sri Lanka,7.57212,80.43412,630
GIZ,King Abdullah Bin Abdulaziz,Gizan,Saudi Arabia,16.901111,42.585833,20
GLO,Gloucestershire,Golouchestershire,United Kingdom,51.894167,-2.167222,101
GLQ,Queen Street Station,Glasgow,United Kingdom,55.8622,-4.2512,50
GLS,Scholes Intl At Galveston,Galveston,United States,29.265322,-94.860406,6
GMA,Gemena,Gemena,Congo (Kinshasa),3.235369,19.771258,1378
GML,Gostomel Antonov,Kiev,Ukraine,50.603611,30.191944,517
GND,Point Salines Intl,Point Salines,Grenada,12.004247,-61.786192,41
GNY,Sanliurfa GAP,Sanliurfa,Turkey,37.45,38.9,2700
GOB,Robe Airport,Goba,Ethiopia,6.733333,44.266667,4000
GOH,Nuuk,Godthaab,Greenland,64.190922,-51.678064,283
GOZ,Gorna Oryahovitsa,Gorna Orechovica,Bulgaria,43.151444,25.712889,285
GPB,Tancredo Thomaz de Faria Airport,Guarapuava,Brazil,-25.383333,-51.45,200
GPI,Juan Casiano,Guapi,Colombia,2.570133,-77.8986,164
GRI,Central Nebraska Regional Airport,Grand Island,United States,40.9675,-98.3096,1847
GRS,Grosseto,Grosseto,Italy,42.759747,11.071897,15
GTB,Wheeler Sack Aaf,Fort Drum,United States,44.055619,-75.719458,690
GTO,Jalaluddin,Gorontalo,Indonesia,0.637119,122.849858,105
GUB,Guerrero Negro Airport,Guerrero Negro,Mexico,28.0261,-114.024,59
GUI,Guiria,Guiria,Venezuela,10.574078,-62.312667,42
GUL,Goulburn Airport,Goulburn,Australia,-34.8103,149.726,2141
GUM,Guam Intl,Agana,Guam,13.48345,144.795983,298
GUP,Gallup Muni,Gallup,United States,35.511058,-108.789308,6472
GUT,Gutersloh,Guetersloh,Germany,51.922833,8.306333,236
GUW,Atyrau,Atyrau,Kazakhstan,47.121944,51.821389,0
GVA,Geneve Cointrin,Geneva,Switzerland,46.238064,6.10895,1411
GVQ,Genesee County Airport,Batavia,United States,43.03175,-78.1696667,914
GVX,Gavle,Gavle,Sweden,60.593333,16.951389,224
GXQ,Teniente Vidal,Coyhaique,Chile,-45.594211,-72.106133,1020
GYA,Capit├´n de Av. Emilio Beltr├´n Airport,Guayaramer├¾n,Bolivia,-10.8206,-65.3456,557
GYI,Gisenyi,Gisenyi,Rwanda,-1.677203,29.258875,5082
GYM,General Jose Maria Yanez Intl,Guaymas,Mexico,27.968983,-110.925169,59
GYS,Guangyuan Airport,Guangyuan,China,32.3911,105.702,0
GYY,Gary Chicago International Airport,Gary,United States,41.6163,-87.4128,591
HAJ,Hannover,Hannover,Germany,52.461056,9.685078,183
HAU,Karmoy,Haugesund,Norway,59.345267,5.208364,86
HAV,Jose Marti Intl,Havana,Cuba,22.989153,-82.409086,210
HBE,Borg El Arab Intl,Alexandria,Egypt,30.917669,29.696408,177
HCN,Hengchun Airport,Hengchun,Taiwan,22.041075,120.730208,46
